cadence,eyeMoveBigHorizontal,focus,numBlinks,sleepy
0,0,2,12,1
0,3.103448,2,33.10345,1
0,2.352941,2,31.76471,1
0,0,2,2,1
0,0,1,23.15789,2
0,1.016949,2,8.135593,1
0,0,2,13.44828,2
0,0,2,5.084746,3
0,1,2,6,1
0,4.285715,2,4.285715,2
0,2.264151,2,1.132076,1
0,0,2,0,2
0,3.050847,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,1,1
0,0,2,0,1
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,12.5,2,6.25,1
0,3,1,39,2
0,9.677419,0,13.54839,0
0,2.608696,1,16.95652,1
0,3.157895,3,13.68421,1
0,0,2,14.44444,1
0,0,2,2.033898,1
0,0,2,4.444445,1
0,0,1,39.5122,1
0,2.181818,3,9.818181,2
0,3.272727,2,15.27273,1
0,3,2,8,2
0,1.016949,2,1.016949,1
0,0,2,0,1
0,0,0,0,0
0,6.382979,1,30.6383,1
0,1.016949,3,13.22034,1
0,1.071429,3,6.428572,2
0,11.73913,1,39.13044,2
0,0,2,1,2
0,0,2,2,1
0,2.105263,2,8.421053,1
0,11.02041,1,24.4898,2
0,0,1,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,7,1
0,0,2,0,1
0,0,0,0,0
0,0,2,2,1
0,0,2,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1.333333,2,8,1
0,2.666667,1,22.66667,1
0,13.5,1,40.5,1
0,2.181818,3,7.636364,1
0,0,3,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
